,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error,Country
0,Calleva,Silchester,Silchester,Silchester,0,0,UK
1,Vindomi,Neatham,Neatham,Neatham,15,0,UK
2,Venta Velgarum,Winchester,Winchester,Winchester,20,1,UK
3,Brige,Nr. Broughton,North Broughton,North Broughton,11,0,UK
4,Sorbiodoni,Old Sarum,Old Sarum,Old Sarum,13,-5,UK
5,Vindocladia,Badbury,Badbury,Badbury,23,-11,UK
6,Durnonovaria,Dorchester,Dorchester,Dorchester,20,-12,UK
7,Moriduno,(Nr Gittisham),Gittisham,North Gittisham,39,(-3),UK
8,Isca Dumnoniorum,Exeter,Exeter,Exeter,15,0,UK
