,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error
0,a Bremenio,High Rochester,High Rochester,High Rochester,0,0
1,Corstopitum,Corbridge,Corbridge,Corbridge,25,-5
2,Vindomora,Ebchester,Ebchester,Ebchester,10,-1
3,Vinovia,Binchester,Binchester,Binchester,20,-1
4,Cataractoni,Catterick,Catterick,Catterick,22,0
5,Isurium,Aldborough,Aldborough,Aldborough,25,-1
6,Eburacum leug VI victrix,York,York,York,17,0
7,Derventione,Malton,Malton,Malton,20,-13
8,Delgovicia,Millington?,Millington,Millington,13,0
9,Praetorio,Brough,Brough,Brough,22,3
