,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error,Country
0,Isca,Caerleon,Caerleon,Caerleon,0,0,UK
1,Venta Silurum,Caerwent,Caerwent,Caerwent,9,0,UK
2,Abone,Sea Mills,Sea Mills,Sea Mills,14,0,UK
3,Traiectus,(Nr. Bitton),Bitton,North Bitton,10,-1,UK
4,Aquis Sulis,Bath,Bath,Bath,6,0,UK
5,Verlucione,Sandy Lane,Sandy Lane,Sandy Lane,15,0,UK
6,Cunetione,Mildenhall,Mildenhall,Mildenhall,17,0,UK
7,Spinis,Woodspeen,Woodspeen,Woodspeen,15,3,UK
8,Calleva,Silchester,Silchester,Silchester,16,-1,UK
