,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error,Country
0,Isca,Caerleon,Caerleon,Caerleon,0,0,UK
1,Burrio,Usk,Usk,Usk,8,1,UK
2,Blestio,Monmouth,Monmouth,Monmouth,13,-2,UK
3,Ariconio,Weston under Penyard,Weston under Penyard,Weston under Penyard,12,-1,UK
4,Clevo,Gloucester,Gloucester,Gloucester,15,0,UK
5,Corinio,Cirencester,Cirencester,Cirencester,18,1,UK
6,Durocornovio,Wanborough,Wanborough,Wanborough,16,-2,UK
7,Spinis,Woodspeen,Woodspeen,Woodspeen,20,-5,UK
8,Calleva,Silchester,Silchester,Silchester,16,-1,UK
