,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error,Country
0,Venta Icinorum,Caistor,Caistor,Caistor,0,0,UK
1,Sitomago,Nr. Dunwich?,,North Dunwich,?,?,UK
2,Conbretovio,Baylham House,,Baylham House,?,?,UK
3,Ad Ansam,Stratford St. Mary,Stratford St. Mary,Stratford St. Mary,15,0,UK
4,Camoloduno,Colchester,Colchester,Colchester,7,-1,UK
5,Canonio,Kelvedon,Kelvedon,Kelvedon,10,-1,UK
6,Cesaromago,Widford,Widford,Widford,13,-1,UK
7,Durolito,Nr. Romford,,North Romford,x,x,UK
8,Lundinio,London,London,London,32,-1,UK
