,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error,Country
0,Segontio,Caernarvon,Caernarvon,Caernarvon,0,0,UK
1,Conovio,Caerhun,Caerhun,Caerhun,24,0,UK
2,Varis,St. Asaph?,,St. Asaph,18,0,UK
3,Deva,Chester,Chester,Chester,29,3,UK
