,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error,Country
0,Dubobrius,Rochester,Dubobrius,Rochester,30,-3,UK
1,Durarveno,Canterbury,Durarveno,Canterbury,27,-2,UK
2,Ad Portum Dubris,Dover,Ad Portum Dubris,Dover,16,-2,UK
