,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error,Country
0,Clanoventa,Ravenglass,Ravenglass,Ravenglass,0,0,UK
1,Galava,Ambleside,Ambleside,Ambleside,20,-2,UK
2,Alone,Low Borrow Bridge,,Low Borrow Bridge,(16)*,?,UK
3,Galacum,Burrow in Lonsdale,Burrow in Lonsdale,Burrow in Lonsdale,19,0,UK
4,Bremetonnaci,Ribchester,Ribchester,Ribchester,31,-4,UK
5,Coccio,Wigan,Wigan,Wigan,22,-2,UK
6,Mamcunio,Manchester,Manchester,Manchester,18,-1,UK
7,Condate,Northwich,Northwich,Northwich,20,-2,UK
8,Mediolano,Whitchurch,Whitchurch,Whitchurch,24,-6,UK
