,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error,Country
0,Regno,Chichester,,Chichester,0,0,UK
1,Clausentum,Bitterne,Bitterne,Bitterne,29,-9,UK
2,Venta Belgarum,Winchester,Winchester,Winchester,10,0,UK
3,Galleva Atrebatum,Silchester,Silchester,Silchester,25,-3,UK
4,Pontibus,Staines,Staines,Staines,27,-5,UK
5,Londinio,London,London,London,21,1,UK
