,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error,Country
0,Lagecio,Castleford,Castleford,Castleford,23,-2,UK
1,Dano,Doncaster,Doncaster,Doncaster,18,-2,UK
2,Ageloco,Littleborough,Littleborough,Littleborough,23,-2,UK
3,Lindo,Lincoln,Lincoln,Lincoln,14,0,UK
4,Crococalana,Brough,Brough,Brough,13,1,UK
5,Margiduno,Castle Hill,Castle Hill,Castle Hill,15,-1,UK
6,Vernemeto,Willoughby,Willoughby,Willoughby,12,0,UK
7,Ratis,Leicester,Leicester,Leicester,14,-2,UK
8,Vennonis,High Cross,High Cross,High Cross,12,0,UK
9,Bannavanto,Whilton Lodge,Whilton Lodge,Whilton Lodge,19,0,UK
10,Magiovinio,Dropshort,Dropshort,Dropshort,28,0,UK
11,Durocobrivis,Dunstable,Dunstable,Dunstable,12,0,UK
12,Verolamo,St. Albans,St. Albans,St. Albans,13,-1,UK
13,Londinio,London,London,London,22,-1,UK
