,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error,Country
0,Durobrivis,Rochester,Durobrivis,Rochester,30,-3,UK
1,Durarvenno,Canterbury,Durarvenno,Canterbury,27,-2,UK
2,Ad Portnum Lemanis,Lympne,Ad Portnum Lemanis,Lympne,16,-2,UK
