,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error,Country
0,Vindomi,Neatham,Neatham,Neatham,15,0,UK
1,Venta Belgarum,Winchester,Winchester,Winchester,20,1,UK
2,Brige,Nr. Broughton,North Broughton,North Broughton,11,0,UK
3,Sorvioduni,Old Sarum,Old Sarum,Old Sarum,13,-5,UK
4,Vindogladia,Badbury,Badbury,Badbury,23,-11,UK
5,Durnonovaria,Dorchester,Dorchester,Dorchester,20,-12,UK
6,Muriduno,(Nr Gittisham),Gittisham,North Gittisham,39,(-3),UK
7,Dumnoniorum (Muriduno,Carmarthen,Carmarthen,Carmarthen,0,0,UK
8,Leucaro,On R. Loughor (Hendy?),,On R. Loughor (Hendy?),-16,?,UK
9,Nido,Neath,Neath,Neath,(12+),?,UK
10,Bomio,(Crossing of R. Ewenny?),,(Crossing of R. Ewenny?),-20,?,UK
12,Iscae leg II Augusta Burrio,Caerleon,Caerleon,Caerleon,-28,(-1),UK
13,Burrio,Usk,Usk,Usk,8,1,UK
14,Gobannio,Abergavenny,Abergavenny,Abergavenny,11,1,UK
15,Magnis,Kenchester,Kenchester,Kenchester,22,0,UK
16,Bravonio,Leintwardine,Leintwardine,Leintwardine,23,1,UK
17,Viriconio,Wroxeter,Wroxeter,Wroxeter,27,0,UK
