,lat,long,type,site,code,xrubio_id,,,city,country
73,-2.016667,54.966667,Dressel 20,Corbridge,QIA,16085,,,Corbridge,UK
74,0.9,51.883333,Dressel 20,Colchester,CSEMPRONIPOLYCLITI,16975,,,Colchester,UK
75,-2.333333,54.966667,Dressel 20,Bardon Mill,EL,18739,,,Bardon Mill,UK
76,-0.093145,51.514248,Dressel 20,London,OLMEN,15904,,,London,UK
77,-2.916667,53.2,Dressel 20,Chester,MSM,16768,,,Chester,UK
78,-2.65,52.666667,Dressel 20,Wroxeter,LVC,17020,,,Wroxeter,UK
79,1.333333,51.283333,Dressel 20,Edinburgh,CANTONIQVIETI,15576,,,Edinburgh,UK
80,-1.983333,51.733333,Dressel 20,Cirencester,ASP,17180,,,Cirencester,UK
81,-2.65,52.666667,Dressel 20,Wroxeter,VRITTI,17102,,,Wroxeter,UK
82,-0.25,51.833333,Dressel 20,St. Albans,VV,17012,,,St. Albans,UK
83,-0.093145,51.514248,Amphora incerta,London,ADBVCIVSF,37011,,,London,UK
84,-2.016667,54.966667,Dressel 20,Corbridge,SCA,16875,,,Corbridge,UK
85,0.9,51.883333,Dressel 20,Colchester,SISEN,25439,,,Colchester,UK
86,-1.083333,53.966667,Dressel 20,York,LCM,15765,,,York,UK
87,-0.093145,51.514248,Dressel 20,London,APCF,16586,,,London,UK
88,-1.983333,51.733333,Dressel 20,Cirencester,SATVRNINI,16836,,,Cirencester,UK
89,-2.033333,50.783333,Dressel 20,Corfe Mullen,LFS,16019,,,Corfe Mullen,UK
90,-2.016667,54.966667,Dressel 20,Corbridge,QCM,15773,,,Corbridge,UK
91,-0.093145,51.514248,Dressel 20,London,PEP,17144,,,London,UK
92,0.9,51.883333,Dressel 20,Colchester,QS,16792,,,Colchester,UK
93,-2.916667,53.2,Dressel 20,Chester,MIAPC,16112,,,Chester,UK
94,-0.093145,51.514248,Dressel 20,London,LSLVPI,16764,,,London,UK
95,-2.916667,53.2,Dressel 20,Chester,LMVE,16406,,,Chester,UK
96,0.9,51.883333,Dressel 20,Colchester,IIIMINICIOR,16434,,,Colchester,UK
97,-1.421389,54.987778,Dressel 20,South Shields,A,17169,,,South Shields,UK
98,-2.333333,54.966667,Dressel 20,Bardon Mill,PANNIRVFI,18688,,,Bardon Mill,UK
99,-2.016667,54.966667,Dressel 20,Corbridge,LIT,16197,,,Corbridge,UK
100,-0.093145,51.514248,Amphora incerta,London,AXII,30683,,,London,UK
101,-0.25,52.583333,Dressel 20,Peterborough,CLK,15858,,,Peterborough,UK
102,-3.533333,50.7,Dressel 20,Exeter,GEMELLI,15855,,,Exeter,UK
103,1.083333,51.266667,Dressel 20,Canterbury,SAXOFERREO,16850,,,Canterbury,UK
104,0.9,51.883333,Dressel 20,Colchester,FFVTI,16045,,,Colchester,UK
105,1.333333,51.283333,Dressel 20,Edinburgh,QFF,16008,,,Edinburgh,UK
106,-2.016667,54.966667,Dressel 20,Corbridge,ACIRGI,15494,,,Corbridge,UK
107,-0.093145,51.514248,Amphora incerta,London,SCO,20728,,,London,UK
108,0.9,51.883333,Dressel 20,Colchester,CVVA,17041,,,Colchester,UK
109,-2.333333,55.016667,Amphora incerta,Housesteads,AE,20637,,,Housesteads,UK
110,-2.016667,54.966667,Dressel 20,Corbridge,ENNIORVMIVLIORVM,15922,,,Corbridge,UK
111,-1.421389,54.987778,Dressel 20,South Shields,LCM,15771,,,South Shields,UK
112,-4.064722,51.662222,Dressel 20,Loughor,CANNIRVFINI,15554,,,Loughor,UK
113,-1.066667,51.35,Dressel 20,Silchester,COLOBRARIA,20503,,,Silchester,UK
114,-2.016667,54.966667,Dressel 20,Corbridge,SCAL,16872,,,Corbridge,UK
115,-0.093145,51.514248,Dressel 20,London,PIVLICRISPI,16225,,,London,UK
116,1.333333,51.283333,Dressel 20,Edinburgh,PRISAENI,16821,,,Edinburgh,UK
117,-2.7,52.2,Dressel 20,Stoke Prior,QIC,16117,,,Stoke Prior,UK
118,-1.083333,53.966667,Mortarium,York,GRATIA,30699,,,York,UK
119,-0.093145,51.514248,Dressel 20,London,PHOEBUS,16055,,,London,UK
120,0.9,51.883333,Dressel 20,Colchester,AELIFVSCIANI,15909,,,Colchester,UK
121,-0.093145,51.514248,Dressel 20,London,MIM,16133,,,London,UK
122,-1.133333,52.633333,Dressel 20,Leicester,LAVRELIGERMANI,15411,,,Leicester,UK
123,-2.916667,53.2,Dressel 20,Chester,PCHO,15758,,,Chester,UK
124,-2.333333,54.966667,Dressel 20,Bardon Mill,AVRELIHERACLAE,33387,,,Bardon Mill,UK
125,-2.016667,54.966667,Dressel 20,Corbridge,QMR,16386,,,Corbridge,UK
126,-2.65,52.666667,Dressel 20,Wroxeter,QANTRVG,15618,,,Wroxeter,UK
127,1.333333,51.283333,Dressel 20,Edinburgh,MAI,17138,,,Edinburgh,UK
128,-2.966667,50.733333,Dressel 20,Uplyme,CAVFL,15674,,,Uplyme,UK
129,-0.093145,51.514248,Amphora incerta,London,PMS,20667,,,London,UK
130,-3.533333,50.7,Dressel 20,Exeter,LSERM,16766,,,Exeter,UK
131,-0.093145,51.514248,Dressel 20,London,POROCODV,16564,,,London,UK
132,-1.666667,54.65,Dressel 20,Bishop Auckland,VRITTIFAV,17101,,,Bishop Auckland,UK
133,-2.016667,54.966667,Dressel 20,Corbridge,ALFO,16310,,,Corbridge,UK
134,-1.983333,51.733333,Dressel 20,Cirencester,PHILEROF,16047,,,Cirencester,UK
135,-0.093145,51.514248,Dressel 20,London,VFV,17168,,,London,UK
136,1.333333,51.283333,Dressel 20,Edinburgh,I,17194,,,Edinburgh,UK
137,-2.6,53.383333,Dressel 20,Warrington,MIM,16129,,,Warrington,UK
138,-1.083333,53.966667,Dressel 20,York,RM,16346,,,York,UK
139,-0.093145,51.514248,Dressel 20,London,C,15701,,,London,UK
140,-0.083333,51.5,Dressel 20,Southwark,ARVA,15643,,,Southwark,UK
141,-2.45,50.6,Amphora incerta,Weymouth,P,20621,,,Weymouth,UK
142,0.9,51.883333,Dressel 20,Colchester,AGRICOLAE,15548,,,Colchester,UK
143,-2.016667,54.966667,Dressel 20,Corbridge,LIT,16213,,,Corbridge,UK
144,-1.216667,53.066667,Dressel 20,Newstead,MON,16441,,,Newstead,UK
145,-0.093145,51.514248,Amphora incerta,London,CVH,30729,,,London,UK
146,-0.25,51.833333,Dressel 20,St. Albans,ALFO,37019,,,St. Albans,UK
147,-0.093145,51.514248,Dressel 20,London,LSSEX,16804,,,London,UK
148,-0.093145,51.514248,Dressel 20,London,QFVLNIC,16011,,,London,UK
149,-0.093145,51.514248,Dressel 20,London,PAH,15422,,,London,UK
150,1.333333,51.283333,Dressel 20,Edinburgh,CAQVIE,20488,,,Edinburgh,UK
151,-2.333333,54.966667,Dressel 20,Bardon Mill,SCBC,18743,,,Bardon Mill,UK
152,-0.093145,51.514248,Amphora incerta,London,LVIOPIM,30732,,,London,UK
153,-0.25,51.833333,Dressel 20,St. Albans,DIA,16079,,,St. Albans,UK
154,-1.983333,51.733333,Dressel 20,Cirencester,QFALBELQFALBETN,15946,,,Cirencester,UK
155,-0.093145,51.514248,Mortarium,London,LIICINIITAS,30705,,,London,UK
156,1.333333,51.283333,Dressel 20,Edinburgh,AEALEX,15518,,,Edinburgh,UK
157,-0.093145,51.514248,Dressel 20,London,PMR,16373,,,London,UK
158,-3.383333,51.95,Dressel 20,Brecon,SALS,15431,,,Brecon,UK
159,0.9,51.883333,Dressel 20,Colchester,PNN,16493,,,Colchester,UK
160,-1.216667,53.066667,Dressel 20,Newstead,DOM,16538,,,Newstead,UK
161,-2.958889,51.613333,Dressel 20,Caerleon,IIIMINICIOR,16438,,,Caerleon,UK
162,-1.066667,51.35,Dressel 20,Silchester,LQS,16673,,,Silchester,UK
163,-3.533333,50.7,Dressel 20,Exeter,QCR,15797,,,Exeter,UK
164,-2.333333,54.966667,Dressel 20,Bardon Mill,APH,18723,,,Bardon Mill,UK
165,-3.533333,50.7,Dressel 20,Exeter,CEFP,15895,,,Exeter,UK
166,0.9,51.883333,Dressel 20,Colchester,SATVRNINI,16843,,,Colchester,UK
167,1.333333,51.283333,Dressel 20,Edinburgh,PORCPR,16614,,,Edinburgh,UK
168,-1.983333,51.733333,Dressel 20,Cirencester,PCI,15763,,,Cirencester,UK
169,-2.016667,54.966667,Dressel 20,Corbridge,LFC,15961,,,Corbridge,UK
170,0.9,51.883333,Dressel 20,Colchester,CANTONIQVIETI,15597,,,Colchester,UK
171,-2.333333,54.966667,Dressel 20,Bardon Mill,QSP,18731,,,Bardon Mill,UK
172,-2.016667,54.966667,Dressel 20,Corbridge,VIRAV,17080,,,Corbridge,UK
173,-3.45,50.683333,Dressel 20,Topsham,LVALERIVITALIS,17134,,,Topsham,UK
174,-0.093145,51.514248,Dressel 20,London,IVLITEREN,16231,,,London,UK
175,-1.748246,50.71376,Dressel 20,Hengistbury Head,QSERVIBROC,16985,,,Hengistbury Head,UK
176,-2.15,55.016667,Dressel 20,Chesters,PNN,16480,,,Chesters,UK
177,-0.25,51.833333,Dressel 20,St. Albans,PATV,15664,,,St. Albans,UK
178,1.333333,51.283333,Dressel 20,Edinburgh,CANTONIQVIETI,15590,,,Edinburgh,UK
179,-1.066667,51.35,Dressel 20,Silchester,LIT,16206,,,Silchester,UK
180,-4.064722,51.662222,Dressel 20,Loughor,LICISPE,16343,,,Loughor,UK
181,-1.083333,53.966667,Dressel 20,York,FSCIMNIANO,16895,,,York,UK
182,-3.383333,51.95,Dressel 20,Brecon,ENNIORVMIVLIORVM,15931,,,Brecon,UK
183,-2.5,53.266667,Dressel 20,Northwich,AVIH,17073,,,Northwich,UK
184,-2.016667,54.966667,Dressel 20,Corbridge,QSA,16828,,,Corbridge,UK
185,-2.333333,55.016667,Dressel 20,Housesteads,B,16104,,,Housesteads,UK
186,-1.066667,51.35,Dressel 20,Silchester,MS,17140,,,Silchester,UK
187,-2.766667,51.61,Dressel 20,Caerwent,CANTONIQVIETI,15565,,,Caerwent,UK
188,-1.316667,51.016667,Dressel 20,Winchester,PCVCC,17149,,,Winchester,UK
189,1.333333,51.283333,Dressel 20,Edinburgh,QSESA,16937,,,Edinburgh,UK
190,-0.093145,51.514248,Dressel 20,London,FIPC,16171,,,London,UK
191,-0.783333,50.833333,Dressel 20,Chicester,C,17190,,,Chicester,UK
192,-0.093145,51.514248,Dressel 20,London,LVIBICHROMIS,17077,,,London,UK
193,1.333333,51.283333,Dressel 20,Edinburgh,BAETICI,15690,,,Edinburgh,UK
194,-2.333333,54.966667,Dressel 20,Bardon Mill,PVALERIFAVSTINI,20447,,,Bardon Mill,UK
195,-0.25,51.833333,Dressel 20,St. Albans,LICISPE,16341,,,St. Albans,UK
196,1.333333,51.283333,Dressel 20,Edinburgh,DI,17122,,,Edinburgh,UK
197,-1.083333,53.966667,Amphora incerta,York,VEVVEN,30731,,,York,UK
198,-2.65,52.666667,Dressel 20,Wroxeter,RIVESRM,16695,,,Wroxeter,UK
199,-0.25,51.833333,Dressel 20,St. Albans,SNTE,16518,,,St. Albans,UK
200,-1.083333,53.966667,Mortarium,York,INOMENC,30715,,,York,UK
201,-2.933333,54.883333,Dressel 20,Carlisle,QMR,33315,,,Carlisle,UK
202,-0.093145,51.514248,Dressel 20,London,PNN,16489,,,London,UK
203,-0.093145,51.514248,Dressel 20,London,VAS,15479,,,London,UK
204,-2.65,51.483333,Dressel 20,Sea Mills,FSCIMNIANO,16892,,,Sea Mills,UK
205,-0.533333,53.233333,Dressel 20,Lincoln,PNN,16486,,,Lincoln,UK
206,0.9,51.883333,Dressel 20,Colchester,PN,16481,,,Colchester,UK
207,-2.016667,54.966667,Dressel 20,Corbridge,TFA,15444,,,Corbridge,UK
208,-1.133333,52.633333,Dressel 20,Leicester,QIM,16158,,,Leicester,UK
209,-1.133333,52.633333,Dressel 20,Leicester,PMH,16361,,,Leicester,UK
210,-2.65,52.666667,Dressel 20,Wroxeter,ENNIORVMIVLIORVM,15930,,,Wroxeter,UK
211,-1.816667,53.916667,Dressel 20,Ilkley,BABPOR,20675,,,Ilkley,UK
212,-0.516667,51.433333,Dressel 20,Staines,MCLS,15861,,,Staines,UK
213,-0.783333,50.833333,Dressel 20,Chicester,LSLSEN,16977,,,Chicester,UK
214,-1.983333,51.733333,Dressel 20,Cirencester,ROMANI,16702,,,Cirencester,UK
215,1.333333,51.283333,Dressel 20,Edinburgh,LIT,16211,,,Edinburgh,UK
216,0.9,51.883333,Dressel 20,Colchester,LQS,16657,,,Colchester,UK
217,1.333333,51.283333,Dressel 20,Edinburgh,QVETI,15575,,,Edinburgh,UK
218,-0.093145,51.514248,Dressel 20,London,PAH,15413,,,London,UK
219,-0.093145,51.514248,Dressel 20,London,CSTERTINIPAVLLINI,16995,,,London,UK
220,0.9,51.883333,Dressel 20,Colchester,ISSISE,16292,,,Colchester,UK
221,0.9,51.883333,Dressel 20,Colchester,CSEMPRONIPOLYCLITI,16965,,,Colchester,UK
222,-0.093145,51.514248,Dressel 20,London,LFC,15965,,,London,UK
223,-1.383333,54.083333,Ignotus,Aldborough,SARR,30725,,,Aldborough,UK
224,-2.333333,54.966667,Dressel 20,Bardon Mill,LVBC,17072,,,Bardon Mill,UK
225,-2.933333,54.883333,Dressel 20,Carlisle,LVC,32258,,,Carlisle,UK
226,0.9,51.883333,Dressel 20,Colchester,QMCALIAIDIS,16349,,,Colchester,UK
227,1.333333,51.283333,Dressel 20,Edinburgh,SOALVEN,16524,,,Edinburgh,UK
228,-2.333333,54.966667,Dressel 20,Bardon Mill,LQA,33390,,,Bardon Mill,UK
229,-2.333333,54.966667,Dressel 20,Bardon Mill,FSCIMNIANO,33385,,,Bardon Mill,UK
230,-0.093145,51.514248,Dressel 20,London,MIM,16143,,,London,UK
231,0.9,51.883333,Dressel 20,Colchester,TATILIASIATICI,15645,,,Colchester,UK
232,-1.619444,54.988056,Dressel 20,Newcastle upon Tyne,CAPF,15625,,,Newcastle upon Tyne,UK
233,-1.166667,52.25,Dressel 20,Daventry,ACIRGI,15486,,,Daventry,UK
234,1.333333,51.283333,Dressel 20,Edinburgh,CANTONIQVIETI,15578,,,Edinburgh,UK
235,-0.533333,53.233333,Dressel 20,Lincoln,NEVAE,16521,,,Lincoln,UK
236,-2.333333,55.016667,Dressel 20,Housesteads,CMM,16367,,,Housesteads,UK
237,-2.016667,54.966667,Dressel 20,Corbridge,LAF,15402,,,Corbridge,UK
238,-1.983333,51.733333,Dressel 20,Cirencester,SALS,15434,,,Cirencester,UK
239,-1.066667,53.783333,Dressel 20,Selby,FSCIMNIANO,16893,,,Selby,UK
240,1.333333,51.283333,Dressel 20,Edinburgh,LCFPC,15743,,,Edinburgh,UK
241,-0.093145,51.514248,Dressel 2-4,London,EXFIGLINCAESARIS,25465,,,London,UK
242,-0.083333,51.5,Dressel 20,Southwark,CALPVRNIAB,15837,,,Southwark,UK
243,-2.6,53.383333,Dressel 20,Warrington,QSA,16829,,,Warrington,UK
244,-0.093145,51.514248,Dressel 20,London,SP,16793,,,London,UK
245,-2.65,52.666667,Dressel 20,Wroxeter,ACIRGI,15499,,,Wroxeter,UK
246,-1.133333,52.633333,Dressel 20,Leicester,QVV,17213,,,Leicester,UK
247,-0.933333,51.166667,Dressel 20,Holybourne,FSCIMNIANO,16906,,,Holybourne,UK
248,0.483333,51.733333,Dressel 20,Chelmsford,MQFF,16640,,,Chelmsford,UK
249,-0.093145,51.514248,Dressel 20,London,MIMOPSI,16147,,,London,UK
250,1.333333,51.283333,Dressel 20,Edinburgh,PVC,17022,,,Edinburgh,UK
251,-0.083333,51.5,Dressel 20,Southwark,ARAXIFM,15686,,,Southwark,UK
252,-2.766667,51.61,Dressel 20,Caerwent,QSR,16799,,,Caerwent,UK
253,-2.65,52.666667,Dressel 20,Wroxeter,MEEVPRO,15891,,,Wroxeter,UK
254,-1.083333,53.966667,Mortarium,York,SVVVIIIITR,30682,,,York,UK
255,-3.482778,51.405556,Dressel 20,Llantwit Major,VICTORICI,25459,,,Llantwit Major,UK
256,-2.65,52.666667,Dressel 20,Wroxeter,QFC,15984,,,Wroxeter,UK
257,1.333333,51.283333,Dressel 20,Edinburgh,MSM,16771,,,Edinburgh,UK
258,-4.266667,53.15,Dressel 20,Caernarfon,QIC,16118,,,Caernarfon,UK
259,-2.333333,54.966667,Dressel 20,Bardon Mill,CAVM,18694,,,Bardon Mill,UK
260,-3.533333,50.7,Dressel 20,Exeter,LSL,16758,,,Exeter,UK
261,0.9,51.883333,Dressel 20,Colchester,CSEMPRONIPOLYCLITI,16969,,,Colchester,UK
262,-1.083333,53.966667,Dressel 20,York,SNR,16501,,,York,UK
263,0.9,51.883333,Amphora incerta,Colchester,FAVS,20525,,,Colchester,UK
264,-1.383333,54.083333,Mortarium,Aldborough,VOROU,30733,,,Aldborough,UK
265,-0.093145,51.514248,Dressel 20,London,QFG,16009,,,London,UK
266,0.9,51.883333,Dressel 20,Colchester,PNN,16475,,,Colchester,UK
267,-1.133333,52.633333,Dressel 20,Leicester,HISPANI,16073,,,Leicester,UK
268,0.9,51.883333,Dressel 20,Colchester,PATERNI,16622,,,Colchester,UK
269,0.9,51.883333,Dressel 20,Colchester,CSEMPRONIPOLYCLITI,16951,,,Colchester,UK
270,-0.093145,51.514248,Dressel 20,London,CANTONIQVIETI,15603,,,London,UK
271,-1.133333,52.633333,Dressel 20,Leicester,CTYC,17006,,,Leicester,UK
272,0.9,51.883333,Dressel 20,Colchester,AELIFVSCIANI,15908,,,Colchester,UK
273,-0.093145,51.514248,Dressel 20,London,SA,17161,,,London,UK
274,-2.016667,54.966667,Dressel 20,Corbridge,SEX,16986,,,Corbridge,UK
275,-1.066667,51.35,Dressel 20,Silchester,LIVNIMELISSI,16236,,,Silchester,UK
276,0.9,51.883333,Dressel 20,Colchester,CSEMPRONIPOLYCLITI,16962,,,Colchester,UK
277,-0.093145,51.514248,Amphora incerta,London,AME,30677,,,London,UK
278,-0.093145,51.514248,Dressel 20,London,QIM,16163,,,London,UK
279,-2.916667,53.2,Dressel 20,Chester,SF,15997,,,Chester,UK
280,0.716667,52.25,Dressel 20,Bury Saint Edmunds,LIDFIT,16122,,,Bury Saint Edmunds,UK
281,-0.8,50.833333,Dressel 20,Fishbourne,QCALMARSI,15844,,,Fishbourne,UK
282,-0.316667,51.616667,Amphora incerta,Stanmore,MAROF,20582,,,Stanmore,UK
283,1.333333,51.283333,Dressel 20,Edinburgh,MSP,20607,,,Edinburgh,UK
284,-1.083333,53.966667,Ignotus,York,MEICCVL,30712,,,York,UK
285,-2.016667,54.966667,Dressel 20,Corbridge,ALBMFMALCACIRC,15550,,,Corbridge,UK
286,-2.016667,54.966667,Dressel 20,Corbridge,VIRG,17098,,,Corbridge,UK
287,-0.25,51.833333,Gauloise,St. Albans,MATVRI,20583,,,St. Albans,UK
288,1.333333,51.283333,Dressel 20,Edinburgh,MNC,16454,,,Edinburgh,UK
289,-0.093145,51.514248,Dressel 20,London,QC,15728,,,London,UK
290,-3.833333,53.216667,Dressel 20,Caerhûn,GAF,15391,,,Caerhûn,UK
291,1.083333,51.266667,Dressel 20,Canterbury,PANNIRVFI,15559,,,Canterbury,UK
292,-1.983333,51.733333,Dressel 20,Cirencester,LAF,15401,,,Cirencester,UK
293,-2.016667,54.966667,Dressel 20,Corbridge,ENNIORVMIVLIORVM,15921,,,Corbridge,UK
294,-2.333333,55.016667,Dressel 20,Housesteads,DOM,16541,,,Housesteads,UK
295,-2.333333,54.966667,Dressel 20,Bardon Mill,LCM,18699,,,Bardon Mill,UK
296,-1.983333,51.733333,Dressel 20,Cirencester,MMCS,15813,,,Cirencester,UK
297,-1.133333,52.633333,Dressel 20,Leicester,CLPV,16332,,,Leicester,UK
298,-1.083333,53.966667,Dressel 20,York,AEMEVP,15526,,,York,UK
299,-2.65,52.666667,Dressel 20,Wroxeter,PSMARN,16776,,,Wroxeter,UK
300,-2.016667,54.966667,Dressel 20,Corbridge,ACIRGI,15508,,,Corbridge,UK
301,-0.093145,51.514248,Dressel 20,London,QMR,16391,,,London,UK
302,-1.619444,54.988056,Dressel 20,Newcastle upon Tyne,QMCALIAIDIS,16352,,,Newcastle upon Tyne,UK
303,-2.433333,53.183333,Dressel 20,Middlewich,QCOCL,15876,,,Middlewich,UK
304,1.333333,51.283333,Dressel 20,Edinburgh,FPC,16172,,,Edinburgh,UK
305,-1.083333,53.966667,Dressel 20,York,CIALB,16101,,,York,UK
306,-1.133333,52.633333,Dressel 20,Leicester,DOM,16558,,,Leicester,UK
307,-2.333333,54.966667,Dressel 20,Bardon Mill,PNN,33396,,,Bardon Mill,UK
308,-1.083333,53.966667,Dressel 20,York,QCC,15724,,,York,UK
309,0.35,52.266667,Dressel 20,Exning,LIVNIMELISSI,16234,,,Exning,UK
310,-1.983333,51.733333,Dressel 20,Cirencester,LQA,16638,,,Cirencester,UK
311,-1.216667,53.066667,Dressel 20,Newstead,LQS,16668,,,Newstead,UK
312,-0.093145,51.514248,Dressel 20,London,MIM,16130,,,London,UK
313,-0.093145,51.514248,Dressel 20,London,QMR,16387,,,London,UK
314,-1.583333,53.166667,Dressel 20,Derby,VIRG,17097,,,Derby,UK
315,-0.25,51.833333,Dressel 20,St. Albans,AC,17172,,,St. Albans,UK
316,-2.15,55.016667,Dressel 20,Chesters,LIVNIMELISSI,16261,,,Chesters,UK
317,-0.093145,51.514248,Dressel 20,London,LAT,15661,,,London,UK
